run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.divergence,train.beta,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,27,task1553_cnn_dailymail_summarization,25,0.03198748014867306,0.1945133107254415,0.00019999999999999998,63.74,jsd,0.5,default,0.0,0.2831845238095238,0.0,0.3224702380952381,0.11358024691358024,0.08703703703703705,28,0.4346880181290479,0.4504487550120215,0.42489847194486735,0.4573262565465678,0.0,0.2831845238095238,0.3224702380952381,0.28405797101449276,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,28,task1203_atomic_classification_xreact,25,0.1129575652629137,0.8860809549626946,0.00019999999999999998,3.24,jsd,0.5,default,0.5,0.23376436781609192,0.5,0.2579022988505747,0.1791666666666667,0.1678571428571429,29,0.38298391012418326,0.3951778988803732,0.3731512193074789,0.43484896042237126,0.0,0.23376436781609192,0.2579022988505747,0.23098591549295774,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,29,task967_ruletaker_incorrect_fact_generation_based_on_given_paragraph,25,0.04415975593030453,0.4570402820185866,0.00019999999999999998,8.46,jsd,0.5,default,0.1,0.2159722222222222,0.1,0.2426388888888889,0.18678160919540232,0.1724137931034483,30,0.3841250372251092,0.3918974474547346,0.3755020016181627,0.4369852863391312,0.0,0.2159722222222222,0.2426388888888889,0.2191780821917808,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,30,task598_cuad_answer_generation,25,0.024612087570130826,0.21403094436959935,0.00019999999999999998,58.08,jsd,0.5,default,0.0,0.22889784946236558,0.0,0.2579301075268817,0.1633333333333333,0.14611111111111114,31,0.3903288480335708,0.405315683764284,0.3811444672935618,0.43521309114205603,0.0,0.22889784946236558,0.2579301075268817,0.232,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,31,task636_extract_and_sort_unique_alphabets_in_a_list,25,0.027182480627670882,0.3930508528750714,0.00019999999999999998,29.12,jsd,0.5,default,0.0,0.194140625,0.0,0.22539062499999998,0.18655913978494618,0.16666666666666669,32,0.352181898429965,0.3863195398271295,0.34256044405204433,0.40313616856159556,0.0,0.194140625,0.22539062499999998,0.2051948051948052,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,32,task848_pubmedqa_classification,25,0.03473652699962258,0.430998591349324,0.00019999999999999998,2.12,jsd,0.5,default,0.6,0.20037878787878788,0.6,0.22765151515151516,0.1869791666666666,0.17083333333333334,33,0.3554500549994394,0.3734311305992273,0.3466515266550636,0.41986297730723837,0.0,0.20037878787878788,0.22765151515151516,0.20759493670886076,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,33,task1384_deal_or_no_dialog_classification,25,0.0498785113543272,0.5147087067935218,0.00019999999999999998,2.02,jsd,0.5,default,0.8,0.27046568627450984,0.8,0.29105392156862747,0.12727272727272732,0.11767676767676769,34,0.41442445908964337,0.426366059676186,0.4070634418613588,0.46618480819993574,0.0,0.27046568627450984,0.29105392156862747,0.2617283950617284,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,34,task1607_ethos_text_classification,25,0.021283295028260908,0.5546836500083786,0.00019999999999999998,3.44,jsd,0.5,default,0.6,0.24702380952380953,0.6,0.26988095238095233,0.1632352941176471,0.15098039215686274,35,0.3930690439210253,0.4045205253153725,0.38513427253035987,0.46286702309599065,0.0,0.24702380952380953,0.26988095238095233,0.2457831325301205,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,35,task576_curiosity_dialogs_answer_generation,25,0.016970460107550024,0.2780457805318833,0.00019999999999999998,34.46,jsd,0.5,default,0.5,0.21886574074074075,0.5,0.2466435185185185,0.19476190476190477,0.17714285714285716,36,0.3733457455140684,0.3922975442720833,0.36408226852989495,0.4381471834566169,0.0,0.21886574074074075,0.2466435185185185,0.22588235294117648,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,36,task565_circa_answer_generation,59,0.11168970338116258,0.6380033994148926,0.0002000000000000001,8.35897435897436,jsd,0.5,default,0.0,0.22916666666666666,0.0,0.2561936936936937,0.17268518518518516,0.15555555555555553,37,0.36851159635205677,0.3811279275319927,0.36200692755434793,0.43148177115501246,0.0,0.22916666666666666,0.2561936936936937,0.22466960352422907,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,37,task1603_smcalflow_sentence_generation,25,0.09272963963449002,0.4852840175683509,0.00019999999999999998,14.02,jsd,0.5,default,0.1,0.2231359649122807,0.3,0.2547149122807018,0.17072072072072073,0.15405405405405403,38,0.3590531419130255,0.370425229131665,0.35171869525393473,0.4234110543895788,0.0,0.2231359649122807,0.2547149122807018,0.22413793103448276,0,0.0,0.0,0.0,0.0,default,default
