run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.divergence,train.beta,train.teacher_format_constraint,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,23,task082_babi_t1_single_supporting_fact_question_generation,77,0.01167830974528832,0.2739219502583568,0.0002000000000000002,5.0064935064935066,jsd,0.5,True,default,0.3125,0.2956597222222222,0.3125,0.3289930555555555,0.09565217391304351,0.06956521739130435,24,0.4403815025328725,0.45895961951642333,0.4340622795023645,0.4813097558247217,0.0,0.2956597222222222,0.3289930555555555,0.28524590163934427,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,24,task1729_personachat_generate_next,25,0.12294345080852509,0.7010500020783594,0.00019999999999999998,18.3,jsd,0.5,True,default,0.0,0.2638333333333333,0.0,0.2918333333333333,0.11250000000000003,0.09166666666666667,25,0.4180954619517771,0.4410151854843316,0.41099968366008444,0.45376396611577025,0.0,0.2638333333333333,0.2918333333333333,0.2571428571428571,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,25,task1600_smcalflow_sentence_generation,25,0.08803808629512787,0.5221662323059413,0.00019999999999999998,14.32,jsd,0.5,True,default,0.0,0.2844551282051282,0.0,0.2998397435897436,0.076,0.06799999999999999,26,0.4224672224078379,0.4441157939386215,0.4146647079846555,0.45608718689292127,0.0,0.2844551282051282,0.2998397435897436,0.26461538461538464,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,26,task1427_country_region_in_world,25,0.036087146438658235,0.5679553278535273,0.00019999999999999998,3.4,jsd,0.5,True,default,0.7,0.29984567901234566,0.7,0.31466049382716044,0.0730769230769231,0.06923076923076923,27,0.4304741401572897,0.4529917543611673,0.4238769210933889,0.4669480373614828,0.0,0.29984567901234566,0.31466049382716044,0.27761194029850744,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,27,task1553_cnn_dailymail_summarization,25,0.04647987186908722,0.26322045279883455,0.00019999999999999998,58.16,jsd,0.5,True,default,0.0,0.26413690476190477,0.0,0.2855654761904762,0.0962962962962963,0.08518518518518518,28,0.4098075255218071,0.4431332996658505,0.39961953848468507,0.42834885649871246,0.0,0.26413690476190477,0.2855654761904762,0.25507246376811593,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,28,task1203_atomic_classification_xreact,25,0.07406954050064087,0.4302422670157753,0.00019999999999999998,2.04,jsd,0.5,True,default,0.5,0.2136494252873563,0.5,0.23089080459770114,0.1535714285714286,0.14642857142857144,29,0.3673509929388817,0.38023170294230524,0.3569431449105562,0.43065785937517714,0.0,0.2136494252873563,0.23089080459770114,0.2112676056338028,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,29,task967_ruletaker_incorrect_fact_generation_based_on_given_paragraph,25,0.04465949684381485,0.5351666654745914,0.00019999999999999998,7.36,jsd,0.5,True,default,0.0,0.23652777777777775,0.0,0.2565277777777778,0.1310344827586207,0.12068965517241381,30,0.40000345452071606,0.4130636155280677,0.391864824400065,0.4462767255516004,0.0,0.23652777777777775,0.2565277777777778,0.2328767123287671,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,30,task598_cuad_answer_generation,25,0.04189629204571247,0.3700034181403292,0.00019999999999999998,53.66,jsd,0.5,True,default,0.0,0.2514784946236559,0.0,0.26115591397849464,0.10666666666666667,0.10666666666666667,31,0.3983475774299033,0.4180416213544895,0.3896837393161795,0.4398305408228443,0.0,0.2514784946236559,0.26115591397849464,0.23733333333333334,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,31,task636_extract_and_sort_unique_alphabets_in_a_list,25,0.02171434658113867,0.21135290063853787,0.00019999999999999998,28.78,jsd,0.5,True,default,0.0,0.23736979166666664,0.0,0.24674479166666666,0.10967741935483871,0.10967741935483871,32,0.385877647249139,0.41205393773798316,0.3776838707176807,0.42913645448726423,0.0,0.23736979166666664,0.24674479166666666,0.22597402597402597,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,32,task848_pubmedqa_classification,25,0.024894700152799487,0.31781361159056654,0.00019999999999999998,2.02,jsd,0.5,True,default,0.6,0.2362373737373737,0.6,0.260479797979798,0.12187500000000002,0.10625,33,0.38756110986991693,0.40171316112095035,0.37995578884823755,0.4388449502258187,0.0,0.2362373737373737,0.260479797979798,0.2379746835443038,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,33,task1384_deal_or_no_dialog_classification,25,0.0464751195977442,0.4418799564524678,0.00019999999999999998,2.04,jsd,0.5,True,default,0.8,0.26458333333333334,0.8,0.2763480392156863,0.10606060606060606,0.10303030303030301,34,0.40313982833859463,0.4165562224490153,0.3952718279215011,0.4563343406812032,0.0,0.26458333333333334,0.2763480392156863,0.2518518518518518,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,34,task1607_ethos_text_classification,25,0.015908049510326237,0.4176287262870613,0.00019999999999999998,3.5,jsd,0.5,True,default,0.9,0.2798809523809524,0.9,0.3027380952380953,0.11176470588235295,0.09705882352941177,35,0.4215755647075423,0.4328606051483295,0.4143177963776016,0.4674446152358789,0.0,0.2798809523809524,0.3027380952380953,0.2746987951807229,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,35,task576_curiosity_dialogs_answer_generation,25,0.02240027070045471,0.2619822134774524,0.00019999999999999998,43.62,jsd,0.5,True,default,0.2,0.24988425925925922,0.2,0.26655092592592594,0.13999999999999999,0.13142857142857145,36,0.40441612329139554,0.4246447968682006,0.39643222612965295,0.454780745951449,0.0,0.24988425925925922,0.26655092592592594,0.2447058823529412,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,36,task565_circa_answer_generation,59,0.14049923180018442,0.6490172822015973,0.0002000000000000001,8.427350427350428,jsd,0.5,True,default,0.0,0.25394144144144143,0.0,0.27015765765765765,0.12777777777777777,0.11944444444444446,37,0.39207060843159613,0.399360312032098,0.3857019287350792,0.4423532596707553,0.0,0.25394144144144143,0.27015765765765765,0.23788546255506607,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,37,task1603_smcalflow_sentence_generation,25,0.11281201481819153,0.6213679921221444,0.00019999999999999998,14.6,jsd,0.5,True,default,0.0,0.2630482456140351,0.2,0.28410087719298244,0.10810810810810811,0.10000000000000002,38,0.40074048237067444,0.4097639905782939,0.39396213484865716,0.44416319870035936,0.0,0.2630482456140351,0.28410087719298244,0.25,0,0.0,0.0,0.0,0.0,default,default
